level_0,address,address_norm,latitude,longitude,district,area,index
63293,"г. Москва, ул. 4-ый Верхний Михайловский пр-д, д. 10, корп. 6","г. москва, улица 4-ый верхний михайловский проезд, д. 10, корпус 6",55.707765,37.601573,Донской район,Южный административный округ,43487.0
63294,"г. Москва, ул. Воронцовская, д. 13/14, с. 9","г. москва, улица воронцовская, д. 13/14, с. 9",55.739088,37.656739,Таганский район,Центральный административный округ,43488.0
63295,"г. Москва, ул. Академика Анохина, д. 9","г. москва, улица академика анохина, д. 9",55.659327,37.472971,район Тропарёво-Никулино,Западный административный округ,43489.0
63296,"г. Москва, ул. Плющева, д. 15А, стр.2","г. москва, улица плющева, д. 15а, стр2",55.739868,37.764339,район Перово,Восточный административный округ,43490.0
63297,"г. Москва, ул. Новокосинская, д. 10 корп. 1","г. москва, улица новокосинская, д. 10 корпус 1",55.734734,37.855563,район Новокосино,Восточный административный округ,43491.0
63298,"г. Москва, ул. Можайское ш., д. 10","г. москва, улица можайское шоссе, д. 10",55.7216,37.435762,Можайский район,Западный административный округ,43492.0
63299,"г. Москва, ул. пр-т Защитников Москвы, д.14","г. москва, улица пр-т защитников москвы, д.14",55.702734,37.925596,район Некрасовка,Юго-Восточный административный округ,43493.0
63300,"г. Москва, ул. Космонавтов, д.18","г. москва, улица космонавтов, д.18",55.820516,37.657098,Алексеевский район,Северо-Восточный административный округ,43494.0
63301,"г. Москва, ул. Митинcкая, д. 28","г. москва, улица митинcкая, д. 28",55.844925,37.367697,район Митино,Северо-Западный административный округ,43495.0
63302,"г. Москва, ул. Полтавская, д. 2","г. москва, улица полтавская, д. 2",55.79264,37.574453,Савёловский район,Северный административный округ,43496.0
63303,"г. Москва, ул. Маршала Захарова, д.10 к.1","г. москва, улица маршала захарова, д.10 корпус1",55.622858,37.701035,район Орехово-Борисово Северное,Южный административный округ,43497.0
63304,"г. Москва, ул. Ломоносовский пр-т, д. 25, корп. 4","г. москва, улица ломоносовский пр-т, д. 25, корпус 4",55.693698,37.530624,район Раменки,Западный административный округ,43498.0
63305,"г. Москва, ул. Ясная, д. 1","г. москва, улица ясная, д. 1",55.569652,37.475486,,,43499.0
63306,"г. Москва, ул. Псковская, д. 9, корп. 1","г. москва, улица псковская, д. 9, корпус 1",55.905856,37.551995,район Лианозово,Северо-Восточный административный округ,43500.0
63307,"г. Москва, ул. Воротынская, д. 4","г. москва, улица воротынская, д. 4",55.887781,37.401429,район Куркино,Северо-Западный административный округ,43501.0
63308,"г. Москва, ул. Волгоградский пр-т, 42, стр. 12","г. москва, улица волгоградский пр-т, 42, стр 12",55.708765,37.725092,район Печатники,Юго-Восточный административный округ,43502.0
63309,"г. Москва, ул. Новая Басманная, д. 10, стр. 1","г. москва, улица новая басманная, д. 10, стр 1",55.769119,37.655877,Басманный район,Центральный административный округ,43503.0
63310,"г. Москва, ул. пр-т Вернадского, д. 33","г. москва, улица пр-т вернадского, д. 33",55.680747,37.514563,Ломоносовский район,Юго-Западный административный округ,43504.0
63311,"г. Химки, ул. Панфилова, д. 21/2","г. химки, улица панфилова, д. 21/2",55.879869,37.432888,Ошибка,Ошибка,43505.0
63312,"г. Москва, ул. Щелковское ш., д. 25/15","г. москва, улица щелковское шоссе, д. 25/15",55.809712,37.776844,район Гольяново,Восточный административный округ,43506.0
63313,"г. Москва, ул. Елоховский пр-д, д.3,  стр. 2","г. москва, улица елоховский проезд, д.3, стр 2",55.772953,37.674049,Басманный район,Центральный административный округ,43507.0
63314,"г. Москва, ул. Перервинский б-р, д. 4 корп. 1","г. москва, улица перервинский б-р, д. 4 корпус 1",55.662151,37.764052,район Марьино,Юго-Восточный административный округ,43508.0
63315,"г. Москва, Большой Дровяной пер., д. 4, стр. 1","г. москва, большой дровяной переулок, д. 4, стр 1",55.743745,37.655886,Таганский район,Центральный административный округ,43509.0
63316,"г. Москва, ул. Нагатинский 1-й пр-д, д.11, корп.1","г. москва, улица нагатинский 1-й проезд, д.11, корпус1",55.678707,37.634784,район Нагатино-Садовники,Южный административный округ,43510.0
63317,"г. Москва, ул. Липовый парк, д. 5, корп. 1","г. москва, улица липовый парк, д. 5, корпус 1",55.569576,37.491584,,,43511.0
63318,"г. Москва, ул. Первомайская, д. 42","г. москва, улица первомайская, д. 42",55.792615,37.78712,район Измайлово,Восточный административный округ,43512.0
63319,"г. Москва, ул. 1-ая Владимирская, д. 18, корп. 1","г. москва, улица 1-ая владимирская, д. 18, корпус 1",55.75553,37.7759,район Перово,Восточный административный округ,43513.0
63320,"г. Москва, ул. Ярцевская, д. 25А","г. москва, улица ярцевская, д. 25а",55.741019,37.415415,район Кунцево,Западный административный округ,43514.0
63321,"г. Москва, ул. Школьная, д. 49","г. москва, улица школьная, д. 49",55.746066,37.676475,Таганский район,Центральный административный округ,43515.0
63322,"г. Москва, ул. Большая Серпуховская, д. 16/15, стр. 1, 2, 5","г. москва, улица большая серпуховская, д. 16/15, стр 1, 2, 5",55.727617,37.624427,район Замоскворечье,Центральный административный округ,43516.0
63323,"г. Москва, ул. Героев Панфиловцев, д. 1","г. москва, улицаг. ероев панфиловцев, д. 1",55.853173,37.437981,район Северное Тушино,Северо-Западный административный округ,43517.0
63324,"г. Москва, ул. пр-т Мира, д. 39, стр. 1","г. москва, улица пр-т мира, д. 39, стр 1",55.780988,37.632898,Мещанский район,Центральный административный округ,43518.0
63325,"г. Москва, ул. Школьная, д. 46","г. москва, улица школьная, д. 46",55.74564,37.676852,Таганский район,Центральный административный округ,43519.0
63326,"г. Москва, ул. Чертановская, д. 38 корп. 1","г. москва, улица чертановская, д. 38 корпус 1",55.614485,37.591135,район Чертаново Центральное,Южный административный округ,43520.0
63327,"г. Москва, ул. Шаболовка, д. 31 стр. 6","г. москва, улица шаболовка, д. 31 стр 6",55.719987,37.610512,Донской район,Южный административный округ,43521.0
63328,"г. Москва, ул. Щёлковское ш., д. 61","г. москва, улица щёлковское шоссе, д. 61",55.810582,37.793427,район Гольяново,Восточный административный округ,43522.0
63329,"г. Москва, ул. пр-т Новоясеневский, д. 9, эт. 1, помещ. XXIV- ком. 1-4","г. москва, улица пр-т новоясеневский, д. 9, эт. 1, помещ. xxiv- ком. 1-4",55.608816,37.535412,район Ясенево,Юго-Западный административный округ,43523.0
63330,"г. Москва, ул. Кутузовский пр-т, д. 34, стр. 14","г. москва, улица кутузовский пр-т, д. 34, стр 14",55.739884,37.53031,район Дорогомилово,Западный административный округ,43524.0
63331,"г. Москва, ул. Усачева, д. 33, стр. 4","г. москва, улица усачева, д. 33, стр 4",55.722908,37.561958,район Хамовники,Центральный административный округ,43525.0
63332,"г. Москва, ул. Мичуринский пр-кт, д.7","г. москва, улица мичуринский пр-кт, д.7",55.702729,37.509703,район Раменки,Западный административный округ,43526.0
63333,"г. Москва, ул. Тверская, д. 6, стр. 6","г. москва, улица тверская, д. 6, стр 6",55.760591,37.611904,Тверской район,Центральный административный округ,43527.0
63334,"г. Москва, ул. Зубовский б-р, д. 35, стр. 1","г. москва, улица зубовский б-р, д. 35, стр 1",55.737557,37.587057,район Хамовники,Центральный административный округ,43528.0
63335,"г. Москва, ул. Ломоносовский пр-т, д. 25, корп. 1","г. москва, улица ломоносовский пр-т, д. 25, корпус 1",55.693597,37.532448,район Раменки,Западный административный округ,43529.0
63336,"г. Москва, ул. Солнцевский пр-т, д. 19","г. москва, улица солнцевский пр-т, д. 19",55.647518,37.410789,район Солнцево,Западный административный округ,43530.0
63337,"г. Москва, ул. Золоторожский пр-д, д. 2","г. москва, улица золоторожский проезд, д. 2",55.750839,37.683015,район Лефортово,Юго-Восточный административный округ,43531.0
63338,"г. Москва, ул. Герасима Курина, д. 16","г. москва, улицаг. ерасима курина, д. 16",55.731318,37.471812,район Фили-Давыдково,Западный административный округ,43532.0
63339,"г. Москва, ул. Кременчугская, д. 3","г. москва, улица кременчугская, д. 3",55.724474,37.461787,район Фили-Давыдково,Западный административный округ,43533.0
63340,"г. Москва, ул. Ореховый пр-д, д. 11","г. москва, улица ореховый проезд, д. 11",55.625369,37.734264,район Зябликово,Южный административный округ,43534.0
63341,"г. Москва, ул. Бачуринская, д. 21","г. москва, улица бачуринская, д. 21",55.573332,37.490515,,,43535.0
63342,"г. Москва, ул. Правды, д. 15 стр. 1","г. москва, улица правды, д. 15 стр 1",55.786794,37.578064,район Беговой,Северный административный округ,43536.0
63343,"г. Москва, ул. Новочерёмушкинская, д. 34, корп. 2","г. москва, улица новочерёмушкинская, д. 34, корпус 2",55.677514,37.572809,Академический район,Юго-Западный административный округ,43537.0
63344,"г. Москва, ул. Новаторов, д. 4, корп. 4","г. москва, улица новаторов, д. 4, корпус 4",55.667152,37.518758,Обручевский район,Юго-Западный административный округ,43538.0
63345,"г. Москва, ул. Северный б-р, д. 7Б","г. москва, улица северный б-р, д. 7б",55.755819,37.617644,Тверской район,Центральный административный округ,43539.0
63346,"г. Москва, 1-й Николощеповский пер., д. 6, стр. 1","г. москва, 1-й николощеповский переулок, д. 6, стр 1",55.748721,37.580921,район Арбат,Центральный административный округ,43540.0
