driver_number,best_lap,avg_lap,avg_st_speed,max_st_speed,avg_i1_speed,avg_i2_speed,laps_count,session_key
27,78.776,81.46913846153846,308.1020408163265,335.0,267.59322033898303,271.2923076923077,65,9102
31,78.946,81.02210606060606,305.70588235294116,328.0,266.0701754385965,270.42424242424244,66,9102
44,76.676,80.33850000000001,302.54,331.0,270.6949152542373,270.969696969697,66,9102
55,78.403,80.6664090909091,304.9024390243902,327.0,268.1272727272727,276.7878787878788,66,9102
63,77.875,80.46303030303031,303.63829787234044,331.0,265.2258064516129,269.27272727272725,66,9102
77,78.242,81.97192307692308,303.3703703703704,336.0,257.5079365079365,267.53846153846155,65,9102
81,78.679,81.26849230769231,304.92,333.0,269.08196721311475,269.2153846153846,65,9102
1,75.594,80.55292857142857,295.51428571428573,330.0,238.74,265.95714285714286,71,9110
2,78.437,81.73816666666666,327.8333333333333,334.0,235.33333333333334,280.5,7,9110
4,76.374,81.45807142857143,309.15714285714284,334.0,244.98461538461538,274.0,70,9110
10,76.425,81.48389999999999,307.01428571428573,336.0,242.34545454545454,267.8,70,9110
11,74.481,81.28238571428571,302.6,336.0,239.66037735849056,266.27142857142854,70,9110
14,75.779,80.68965714285714,295.85714285714283,327.0,243.135593220339,268.74285714285713,70,9110
16,75.907,80.81955714285714,303.14285714285717,339.0,243.82142857142858,269.75714285714287,70,9110
18,76.564,81.47184285714285,306.6142857142857,339.0,244.6,275.07142857142856,70,9110
20,76.126,82.73872463768116,304.84057971014494,337.0,245.14814814814815,265.9130434782609,69,9110
21,76.656,82.8068695652174,309.463768115942,338.0,244.30769230769232,274.95652173913044,69,9110
22,76.666,81.60171428571428,302.1857142857143,334.0,247.4375,274.77142857142854,70,9110
23,76.917,81.42167142857143,309.2857142857143,343.0,246.7058823529412,275.9714285714286,70,9110
24,77.09,81.97123188405797,306.30434782608694,340.0,243.7,271.2608695652174,69,9110
27,77.232,81.96623188405798,301.0289855072464,335.0,243.43333333333334,272.17391304347825,69,9110
31,76.782,81.43438571428571,295.92857142857144,324.0,239.9111111111111,264.5285714285714,70,9110
44,75.396,80.75567142857143,295.64285714285717,323.0,242.21875,271.9,70,9110
55,75.911,80.85954285714286,306.62857142857143,337.0,244.79661016949152,270.5285714285714,70,9110
63,77.097,82.79628301886791,303.2037037037037,334.0,245.72,269.537037037037,54,9110
77,76.625,81.47327142857142,303.1714285714286,333.0,245.03846153846155,268.3857142857143,70,9110
81,76.598,81.48282857142857,301.8285714285714,333.0,237.78333333333333,272.6,70,9110
1,67.012,72.30897183098591,294.28169014084506,321.0,289.984375,228.25352112676057,72,9118
2,69.611,73.57791428571429,298.07142857142856,315.0,301.6,224.0142857142857,70,9118
4,68.739,72.6802676056338,297.1267605633803,316.0,300.46666666666664,224.74647887323943,71,9118
10,69.046,73.12035211267606,291.3943661971831,315.0,291.1489361702128,225.3661971830986,71,9118
11,68.111,72.55098591549296,299.2676056338028,325.0,304.27868852459017,223.73239436619718,71,9118
14,69.108,72.73611267605634,291.83098591549293,307.0,294.0508474576271,224.2112676056338,71,9118
16,68.82,72.38188732394366,294.11267605633805,312.0,293.22222222222223,227.29577464788733,71,9118
18,68.463,73.14092957746479,296.38028169014086,317.0,299.24615384615385,222.46478873239437,71,9118
20,70.176,73.82539130434783,298.57142857142856,318.0,298.515625,221.28985507246378,70,9118
21,69.852,73.32791304347826,298.12857142857143,316.0,295.3103448275862,221.3,70,9118
22,69.62,73.98297142857143,296.0857142857143,320.0,294.55555555555554,219.52857142857144,70,9118
23,69.56,73.29197183098591,297.7464788732394,318.0,301.67692307692306,223.33802816901408,71,9118
24,69.786,73.6933142857143,292.57142857142856,315.0,295.7049180327869,222.92857142857142,70,9118
27,71.066,82.07858333333333,297.5833333333333,312.0,285.15384615384613,202.66666666666666,13,9118
31,69.797,73.51637142857142,294.57142857142856,320.0,292.17543859649123,224.5142857142857,70,9118
44,69.16,72.86153521126761,291.23943661971833,318.0,298.10769230769233,222.5211267605634,71,9118
55,68.88,72.61040845070423,296.14084507042253,322.0,294.73214285714283,225.04225352112675,71,9118
63,69.283,72.99084507042254,295.09859154929575,319.0,296.8360655737705,222.64788732394365,71,9118
77,69.94,73.95204285714286,296.74285714285713,321.0,297.109375,220.74285714285713,70,9118
81,69.862,74.00835714285715,299.72857142857146,319.0,301.45454545454544,221.42857142857142,70,9118
1,90.275,98.40873076923077,281.0,318.0,273.7027027027027,250.23076923076923,53,9126
2,91.699,98.86409615384615,299.0192307692308,332.0,291.2093023255814,243.69230769230768,52,9126
4,90.543,98.48190384615386,283.61538461538464,311.0,276.95,249.1153846153846,52,9126
10,91.539,101.21558695652175,289.5217391304348,318.0,268.48571428571427,237.80434782608697,47,9126
11,90.914,98.65632692307692,295.0,338.0,283.9183673469388,245.67307692307693,52,9126
14,91.338,98.73998076923077,293.5769230769231,322.0,281.0263157894737,246.48076923076923,52,9126
16,91.255,98.76857692307694,294.3269230769231,330.0,283.8333333333333,246.40384615384616,52,9126
18,91.508,98.8415576923077,295.1730769230769,333.0,286.51020408163265,245.76923076923077,52,9126
