session_key,meeting_key,driver_number,position,number_of_laps,dnf,dns,dsq,gap_to_leader,best_time
9511,1235,14,19.0,7,False,False,False,"[1.155, None, None]",76.917
9511,1235,2,,8,True,False,False,"[None, None, None]",
9519,1236,16,1.0,26,False,False,False,"[0.092, 0.093, 0.0]",70.27
9519,1236,81,2.0,24,False,False,False,"[0.008, 0.024, 0.154]",70.424
9519,1236,55,3.0,28,False,False,False,"[0.051, 0.343, 0.248]",70.518
9519,1236,4,4.0,27,False,False,False,"[0.268, 0.0, 0.272]",70.542
9519,1236,63,5.0,28,False,False,False,"[0.0, 0.197, 0.273]",70.543
9519,1236,1,6.0,28,False,False,False,"[0.219, 0.013, 0.297]",70.567
9519,1236,44,7.0,28,False,False,False,"[0.036, 0.324, 0.351]",70.621
9519,1236,22,8.0,25,False,False,False,"[0.36, 0.374, 0.588]",70.858
9519,1236,23,9.0,29,False,False,False,"[0.131, 0.484, 0.678]",70.948
9519,1236,10,10.0,30,False,False,False,"[0.222, 0.164, 1.041]",70.896
9519,1236,31,11.0,20,False,False,False,"[0.395, 0.553, None]",71.285
9519,1236,27,,20,False,False,False,"[0.384, 0.708, None]",71.44
9519,1236,3,12.0,21,False,False,False,"[0.293, 0.75, None]",71.482
9519,1236,18,13.0,17,False,False,False,"[0.236, 0.831, None]",71.563
9519,1236,20,,18,False,False,False,"[0.34, 0.993, None]",71.725
9519,1236,14,14.0,11,False,False,False,"[0.527, None, None]",72.019
9519,1236,2,15.0,12,False,False,False,"[0.528, None, None]",72.02
9519,1236,11,16.0,12,False,False,False,"[0.568, None, None]",72.06
9519,1236,77,17.0,11,False,False,False,"[1.02, None, None]",72.512
9519,1236,24,18.0,11,False,False,False,"[1.536, None, None]",73.028
9527,1237,63,1.0,26,False,False,False,"[0.653, 0.0, 0.0]",71.742
9527,1237,1,2.0,27,False,False,False,"[0.0, 0.807, 0.0]",72.0
9527,1237,4,3.0,25,False,False,False,"[0.599, 0.459, 0.021]",72.021
9527,1237,81,4.0,29,False,False,False,"[0.547, 0.72, 0.103]",72.103
9527,1237,3,5.0,25,False,False,False,"[0.88, 0.83, 0.178]",72.178
9527,1237,14,6.0,23,False,False,False,"[0.757, 0.893, 0.228]",72.228
9527,1237,44,7.0,26,False,False,False,"[0.491, 0.237, 0.28]",71.979
9527,1237,22,8.0,24,False,False,False,"[0.388, 0.561, 0.414]",72.303
9527,1237,18,9.0,25,False,False,False,"[0.728, 0.917, 0.701]",72.659
9527,1237,23,10.0,26,False,False,False,"[0.536, 0.743, 0.796]",72.485
9527,1237,16,11.0,21,False,False,False,"[0.747, 0.949, None]",72.691
9527,1237,55,12.0,22,False,False,False,"[0.678, 0.986, None]",72.728
9527,1237,2,13.0,22,False,False,False,"[0.703, 0.994, None]",72.736
9527,1237,20,14.0,16,False,False,False,"[0.857, 1.174, None]",72.916
9527,1237,10,15.0,18,False,False,False,"[0.929, 1.198, None]",72.94
9527,1237,11,16.0,11,False,False,False,"[0.966, None, None]",73.326
9527,1237,77,17.0,10,False,False,False,"[1.006, None, None]",73.366
9527,1237,31,18.0,11,False,False,False,"[1.075, None, None]",73.435
9527,1237,27,19.0,10,False,False,False,"[1.618, None, None]",73.978
9527,1237,24,20.0,11,False,False,False,"[1.932, None, None]",74.292
9535,1238,4,1.0,12,False,False,False,"[0.243, 0.219, 0.0]",71.383
9535,1238,1,2.0,12,False,False,False,"[0.163, 0.0, 0.02]",71.403
9535,1238,44,3.0,18,False,False,False,"[0.0, 0.139, 0.318]",71.701
9535,1238,63,4.0,16,False,False,False,"[0.313, 0.159, 0.32]",71.703
9535,1238,16,5.0,12,False,False,False,"[0.114, 0.385, 0.348]",71.731
9535,1238,55,6.0,12,False,False,False,"[0.26, 0.221, 0.353]",71.736
9535,1238,10,7.0,18,False,False,False,"[0.508, 0.426, 0.474]",71.857
9535,1238,11,8.0,18,False,False,False,"[0.334, 0.401, 0.678]",72.054
