,doctor_link,price,experience,rating,review_count,clinics_count,dist_center,spec,is_kids,is_adults,doctor_source,district,price_log
29276,https://prodoctorov.ru/moskva/vrach/288423-salaeva/,4900.0,,4.98669927526458,48.0,6.0,17.431484172744376,гинеколог,False,True,ProDoctorov,,8.497194544909547
29279,https://docdoc.ru/doctor/Salamahina_Elena,5000.0,31.0,3.95,0.0,2.0,9.82100452413405,невролог,False,True,Обе платформы,район Черёмушки,8.517393171418904
29282,https://docdoc.ru/doctor/Salamov_Zalimhan,2800.0,7.0,4.4624999999999995,8.0,3.0,0.290742422032002,терапевт,False,True,Обе платформы,Тверской район,7.937731775260109
29289,https://docdoc.ru/doctor/Salaheeva_Ekaterina,2800.0,7.0,3.25,0.0,3.0,9.751593093544015,гематолог,False,True,Обе платформы,район Коптево,7.937731775260109
29291,https://docdoc.ru/doctor/Salahova_Zhalya,3500.0,7.0,3.6000000000000005,0.0,3.0,2.806381440034143,детский эндокринолог,True,True,Обе платформы,Тверской район,8.160803920954665
29293,https://docdoc.ru/doctor/Salahutdinova_Almira,2250.0,6.0,4.482805939777726,17.0,2.0,7.161557525477612,вертебролог,False,True,Обе платформы,Даниловский район,7.719129840906732
29308,https://docdoc.ru/doctor/Salimova_Alisa,2950.0,5.0,3.24,2.0,2.0,0.290742422032002,онколог,False,True,Обе платформы,Тверской район,7.989899374942939
29321,https://prodoctorov.ru/moskva/vrach/186543-salihova/,1200.0,,4.44608865798323,27.0,3.0,7.539838339053837,гинеколог,False,True,ProDoctorov,,7.0909098220799835
29330,https://docdoc.ru/doctor/Salmanova_Zagidat,2690.0,6.0,3.4793223604851913,3.0,3.0,6.88888507193744,невролог,False,True,Обе платформы,Останкинский район,7.897668150726906
29334,https://prodoctorov.ru/moskva/vrach/1053078-salmova/,2700.0,,,0.0,3.0,11.563823222502299,детский эндокринолог,True,False,ProDoctorov,,7.901377353792616
29335,https://prodoctorov.ru/moskva/vrach/747520-salov/,3000.0,,2.1333333333333333,1.0,3.0,5.720762215166874,анестезиолог-реаниматолог,False,True,ProDoctorov,,8.006700845440367
29337,https://docdoc.ru/doctor/Salomatina_Yelena,2500.0,34.0,3.897296314138315,72.0,2.0,2.9102434278454132,другое,False,True,Обе платформы,Пресненский район,7.824445930877619
29338,https://docdoc.ru/doctor/Salomatova_Marina,3150.0,19.0,3.7123191885475983,13.0,3.0,8.551039931492568,эндокринолог,False,True,Обе платформы,район Нагатинский Затон,8.055475141757274
29342,https://docdoc.ru/doctor/Salpagarova_Milana,1760.0,10.0,4.809427812934652,17.0,2.0,12.601382753642662,гинеколог,False,True,Обе платформы,район Отрадное,7.473637108496206
29344,https://docdoc.ru/doctor/Salugina_Tatyana,2400.0,27.0,4.563745154888706,92.0,7.0,9.675014712913441,гинеколог,False,True,Обе платформы,район Раменки,7.783640596221253
29348,https://docdoc.ru/doctor/Salmanov_Aslan,3500.0,3.0,4.125827307226047,4.0,2.0,7.822931425027749,терапевт,False,True,Обе платформы,Нижегородский район,8.160803920954665
29365,https://docdoc.ru/doctor/Salyahov_Renat,4500.0,,3.326440786828397,3.0,2.0,1.1138875844233127,терапевт,False,True,Обе платформы,Таганский район,8.412054873292933
29374,https://prodoctorov.ru/moskva/vrach/1027051-samarina/,8500.0,,3.8333333333333335,3.0,3.0,1.2164790395630878,гинеколог,False,True,ProDoctorov,,9.04793908261736
29394,https://docdoc.ru/doctor/Samedov_Sabuhi,3300.0,8.0,3.774999999999999,0.0,2.0,6.959094447384428,онколог,False,True,Обе платформы,Алексеевский район,8.101980731853192
29401,https://docdoc.ru/doctor/Samenkova_Valeriya,2500.0,50.0,0.6995672987422077,16.0,6.0,24.304480751922956,невролог,False,True,Обе платформы,2-й микрорайон,7.824445930877619
